# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-31-57	靭	976D
1-31-58	笥	7B25
1-31-59	諏	8ACF
1-31-60	須	9808
1-31-61	酢	9162
1-31-62	図	56F3
1-31-63	厨	53A8
1-31-64	逗	9017
1-31-65	吹	5439
1-31-66	垂	5782
1-31-67	帥	5E25
1-31-68	推	63A8
1-31-69	水	6C34
1-31-70	炊	708A
1-31-71	睡	7761
1-31-72	粋	7C8B
1-31-73	翠	7FE0
1-31-74	衰	8870
1-31-75	遂	9042
1-31-76	酔	9154
1-31-77	錐	9310
1-31-78	錘	9318
1-31-79	随	968F
1-31-80	瑞	745E
1-31-81	髄	9AC4
1-31-82	崇	5D07
1-31-83	嵩	5D69
1-31-84	数	6570
1-31-85	枢	67A2
1-31-86	趨	8DA8
1-31-87	雛	96DB
1-31-88	据	636E
1-31-89	杉	6749
1-31-90	椙	6919
1-31-91	菅	83C5
1-31-92	頗	9817
1-31-93	雀	96C0
1-31-94	裾	88FE
1-32-1	澄	6F84
1-32-2	摺	647A
1-32-3	寸	5BF8
1-32-4	世	4E16
1-32-5	瀬	702C
1-32-6	畝	755D
1-32-7	是	662F
1-32-8	凄	51C4
1-32-9	制	5236
1-32-10	勢	52E2
1-32-11	姓	59D3
1-32-12	征	5F81
1-32-13	性	6027
1-32-14	成	6210
1-32-15	政	653F
1-32-16	整	6574
1-32-17	星	661F
1-32-18	晴	6674
1-32-19	棲	68F2
1-32-20	栖	6816
1-32-21	正	6B63
1-32-22	清	6E05
1-32-23	牲	7272
1-32-24	生	751F
1-32-25	盛	76DB
1-32-26	精	7CBE
1-32-27	聖	8056
1-32-28	声	58F0
1-32-29	製	88FD
1-32-30	西	897F
1-32-31	誠	8AA0
1-32-32	誓	8A93
1-32-33	請	8ACB
1-32-34	逝	901D
1-32-35	醒	9192
1-32-36	青	9752
1-32-37	静	9759
1-32-38	斉	6589
1-32-39	税	7A0E
1-32-40	脆	8106
1-32-41	隻	96BB
1-32-42	席	5E2D
1-32-43	惜	60DC
1-32-44	戚	621A
1-32-45	斥	65A5
1-32-46	昔	6614
1-32-47	析	6790
1-32-48	石	77F3
1-32-49	積	7A4D
1-32-50	籍	7C4D
1-32-51	績	7E3E
1-32-52	脊	810A
1-32-53	責	8CAC
1-32-54	赤	8D64
1-32-55	跡	8DE1
1-32-56	蹟	8E5F
1-32-57	碩	78A9
1-32-58	切	5207
1-32-59	拙	62D9
1-32-60	接	63A5
1-32-61	摂	6442
1-32-62	折	6298
1-32-63	設	8A2D
1-32-64	窃	7A83
1-32-65	節	7BC0
1-32-66	説	8AAC
1-32-67	雪	96EA
1-32-68	絶	7D76
1-32-69	舌	820C
1-32-70	蝉	8749
1-32-71	仙	4ED9
1-32-72	先	5148
1-32-73	千	5343
1-32-74	占	5360
1-32-75	宣	5BA3
1-32-76	専	5C02
1-32-77	尖	5C16
1-32-78	川	5DDD
1-32-79	戦	6226
1-32-80	扇	6247
1-32-81	撰	64B0
1-32-82	栓	6813
1-32-83	栴	6834
1-32-84	泉	6CC9
1-32-85	浅	6D45
1-32-86	洗	6D17
1-32-87	染	67D3
1-32-88	潜	6F5C
1-32-89	煎	714E
1-32-90	煽	717D
1-32-91	旋	65CB
1-32-92	穿	7A7F
1-32-93	箭	7BAD
1-32-94	線	7DDA
1-33-1	繊	7E4A
1-33-2	羨	7FA8
1-33-3	腺	817A
1-33-4	舛	821B
1-33-5	船	8239
1-33-6	薦	85A6
1-33-7	詮	8A6E
1-33-8	賎	8CCE
1-33-9	践	8DF5
1-33-10	選	9078
1-33-11	遷	9077
1-33-12	銭	92AD
1-33-13	銑	9291
1-33-14	閃	9583
1-33-15	鮮	9BAE
1-33-16	前	524D
1-33-17	善	5584
1-33-18	漸	6F38
1-33-19	然	7136
1-33-20	全	5168
1-33-21	禅	7985
1-33-22	繕	7E55
1-33-23	膳	81B3
1-33-24	糎	7CCE
1-33-25	噌	564C
1-33-26	塑	5851
1-33-27	岨	5CA8
1-33-28	措	63AA
1-33-29	曾	66FE
1-33-30	曽	66FD
1-33-31	楚	695A
1-33-32	狙	72D9
1-33-33	疏	758F
1-33-34	疎	758E
1-33-35	礎	790E
1-33-36	祖	7956
1-33-37	租	79DF
1-33-38	粗	7C97
1-33-39	素	7D20
1-33-40	組	7D44
1-33-41	蘇	8607
1-33-42	訴	8A34
1-33-43	阻	963B
1-33-44	遡	9061
1-33-45	鼠	9F20
1-33-46	僧	50E7
1-33-47	創	5275
1-33-48	双	53CC
1-33-49	叢	53E2
1-33-50	倉	5009
1-33-51	喪	55AA
1-33-52	壮	58EE
1-33-53	奏	594F
1-33-54	爽	723D
1-33-55	宋	5B8B
1-33-56	層	5C64
1-33-57	匝	531D
1-33-58	惣	60E3
1-33-59	想	60F3
1-33-60	捜	635C
1-33-61	掃	6383
1-33-62	挿	633F
1-33-63	掻	63BB
1-33-64	操	64CD
1-33-65	早	65E9
1-33-66	曹	66F9
1-33-67	巣	5DE3
1-33-68	槍	69CD
1-33-69	槽	69FD
1-33-70	漕	6F15
1-33-71	燥	71E5
1-33-72	争	4E89
1-33-73	痩	75E9
1-33-74	相	76F8
1-33-75	窓	7A93
1-33-76	糟	7CDF
1-33-77	総	7DCF
1-33-78	綜	7D9C
1-33-79	聡	8061
1-33-80	草	8349
1-33-81	荘	8358
1-33-82	葬	846C
1-33-83	蒼	84BC
1-33-84	藻	85FB
1-33-85	装	88C5
1-33-86	走	8D70
1-33-87	送	9001
1-33-88	遭	906D
1-33-89	鎗	9397
1-33-90	霜	971C
1-33-91	騒	9A12
1-33-92	像	50CF
1-33-93	増	5897
1-33-94	憎	618E
1-34-1	臓	81D3
1-34-2	蔵	8535
1-34-3	贈	8D08
1-34-4	造	9020
1-34-5	促	4FC3
1-34-6	側	5074
1-34-7	則	5247
1-34-8	即	5373
1-34-9	息	606F
1-34-10	捉	6349
1-34-11	束	675F
1-34-12	測	6E2C
1-34-13	足	8DB3
1-34-14	速	901F
1-34-15	俗	4FD7
1-34-16	属	5C5E
1-34-17	賊	8CCA
1-34-18	族	65CF
1-34-19	続	7D9A
1-34-20	卒	5352
1-34-21	袖	8896
1-34-22	其	5176
1-34-23	揃	63C3
1-34-24	存	5B58
1-34-25	孫	5B6B
1-34-26	尊	5C0A
1-34-27	損	640D
1-34-28	村	6751
1-34-29	遜	905C
1-34-30	他	4ED6
1-34-31	多	591A
1-34-32	太	592A
1-34-33	汰	6C70
1-34-34	詑	8A51
1-34-35	唾	553E
1-34-36	堕	5815
1-34-37	妥	59A5
1-34-38	惰	60F0
1-34-39	打	6253
1-34-40	柁	67C1
1-34-41	舵	8235
1-34-42	楕	6955
1-34-43	陀	9640
1-34-44	駄	99C4
1-34-45	騨	9A28
1-34-46	体	4F53
1-34-47	堆	5806
1-34-48	対	5BFE
1-34-49	耐	8010
1-34-50	岱	5CB1
1-34-51	帯	5E2F
1-34-52	待	5F85
1-34-53	怠	6020
1-34-54	態	614B
1-34-55	戴	6234
1-34-56	替	66FF
1-34-57	泰	6CF0
1-34-58	滞	6EDE
1-34-59	胎	80CE
1-34-60	腿	817F
1-34-61	苔	82D4
1-34-62	袋	888B
1-34-63	貸	8CB8
1-34-64	退	9000
1-34-65	逮	902E
1-34-66	隊	968A
1-34-67	黛	9EDB
1-34-68	鯛	9BDB
1-34-69	代	4EE3
1-34-70	台	53F0
1-34-71	大	5927
1-34-72	第	7B2C
1-34-73	醍	918D
1-34-74	題	984C
1-34-75	鷹	9DF9
1-34-76	滝	6EDD
1-34-77	瀧	7027
1-34-78	卓	5353
1-34-79	啄	5544
1-34-80	宅	5B85
1-34-81	托	6258
1-34-82	択	629E
1-34-83	拓	62D3
1-34-84	沢	6CA2
1-34-85	濯	6FEF
1-34-86	琢	7422
1-34-87	託	8A17
1-34-88	鐸	9438
1-34-89	濁	6FC1
1-34-90	諾	8AFE
1-34-91	茸	8338
1-34-92	凧	51E7
1-34-93	蛸	86F8
1-34-94	只	53EA
1-35-1	叩	53E9
1-35-2	但	4F46
1-35-3	達	9054
1-35-4	辰	8FB0
1-35-5	奪	596A
1-35-6	脱	8131
1-35-7	巽	5DFD
1-35-8	竪	7AEA
1-35-9	辿	8FBF
1-35-10	棚	68DA
1-35-11	谷	8C37
1-35-12	狸	72F8
1-35-13	鱈	9C48
1-35-14	樽	6A3D
1-35-15	誰	8AB0
1-35-16	丹	4E39
1-35-17	単	5358
1-35-18	嘆	5606
1-35-19	坦	5766
1-35-20	担	62C5
1-35-21	探	63A2
1-35-22	旦	65E6
1-35-23	歎	6B4E
1-35-24	淡	6DE1
1-35-25	湛	6E5B
1-35-26	炭	70AD
1-35-27	短	77ED
1-35-28	端	7AEF
1-35-29	箪	7BAA
1-35-30	綻	7DBB
1-35-31	耽	803D
1-35-32	胆	80C6
1-35-33	蛋	86CB
1-35-34	誕	8A95
1-35-35	鍛	935B
1-35-36	団	56E3
1-35-37	壇	58C7
1-35-38	弾	5F3E
1-35-39	断	65AD
1-35-40	暖	6696
1-35-41	檀	6A80
1-35-42	段	6BB5
1-35-43	男	7537
1-35-44	談	8AC7
1-35-45	値	5024
1-35-46	知	77E5
1-35-47	地	5730
1-35-48	弛	5F1B
1-35-49	恥	6065
1-35-50	智	667A
1-35-51	池	6C60
1-35-52	痴	75F4
1-35-53	稚	7A1A
1-35-54	置	7F6E
1-35-55	致	81F4
1-35-56	蜘	8718
1-35-57	遅	9045
1-35-58	馳	99B3
1-35-59	築	7BC9
1-35-60	畜	755C
1-35-61	竹	7AF9
1-35-62	筑	7B51
1-35-63	蓄	84C4
1-35-64	逐	9010
1-35-65	秩	79E9
1-35-66	窒	7A92
1-35-67	茶	8336
1-35-68	嫡	5AE1
1-35-69	着	7740
1-35-70	中	4E2D
1-35-71	仲	4EF2
1-35-72	宙	5B99
1-35-73	忠	5FE0
1-35-74	抽	62BD
1-35-75	昼	663C
1-35-76	柱	67F1
1-35-77	注	6CE8
1-35-78	虫	866B
1-35-79	衷	8877
1-35-80	註	8A3B
1-35-81	酎	914E
1-35-82	鋳	92F3
1-35-83	駐	99D0
1-35-84	樗	6A17
1-35-85	瀦	7026
1-35-86	猪	732A
1-35-87	苧	82E7
1-35-88	著	8457
1-35-89	貯	8CAF
1-35-90	丁	4E01
1-35-91	兆	5146
1-35-92	凋	51CB
1-35-93	喋	558B
1-35-94	寵	5BF5
1-36-1	帖	5E16
1-36-2	帳	5E33
1-36-3	庁	5E81
1-36-4	弔	5F14
1-36-5	張	5F35
1-36-6	彫	5F6B
1-36-7	徴	5FB4
1-36-8	懲	61F2
1-36-9	挑	6311
1-36-10	暢	66A2
1-36-11	朝	671D
1-36-12	潮	6F6E
1-36-13	牒	7252
1-36-14	町	753A
1-36-15	眺	773A
1-36-16	聴	8074
1-36-17	脹	8139
1-36-18	腸	8178
1-36-19	蝶	8776
1-36-20	調	8ABF
1-36-21	諜	8ADC
1-36-22	超	8D85
1-36-23	跳	8DF3
1-36-24	銚	929A
1-36-25	長	9577
1-36-26	頂	9802
1-36-27	鳥	9CE5
1-36-28	勅	52C5
1-36-29	捗	6357
1-36-30	直	76F4
1-36-31	朕	6715
1-36-32	沈	6C88
1-36-33	珍	73CD
1-36-34	賃	8CC3
1-36-35	鎮	93AE
1-36-36	陳	9673
1-36-37	津	6D25
1-36-38	墜	589C
1-36-39	椎	690E
1-36-40	槌	69CC
1-36-41	追	8FFD
1-36-42	鎚	939A
1-36-43	痛	75DB
1-36-44	通	901A
1-36-45	塚	585A
1-36-46	栂	6802
1-36-47	掴	63B4
1-36-48	槻	69FB
1-36-49	佃	4F43
1-36-50	漬	6F2C
1-36-51	柘	67D8
1-36-52	辻	8FBB
1-36-53	蔦	8526
1-36-54	綴	7DB4
1-36-55	鍔	9354
1-36-56	椿	693F
1-36-57	潰	6F70
1-36-58	坪	576A
1-36-59	壷	58F7
1-36-60	嬬	5B2C
1-36-61	紬	7D2C
1-36-62	爪	722A
1-36-63	吊	540A
1-36-64	釣	91E3
1-36-65	鶴	9DB4
1-36-66	亭	4EAD
1-36-67	低	4F4E
1-36-68	停	505C
1-36-69	偵	5075
1-36-70	剃	5243
1-36-71	貞	8C9E
1-36-72	呈	5448
1-36-73	堤	5824
1-36-74	定	5B9A
1-36-75	帝	5E1D
1-36-76	底	5E95
1-36-77	庭	5EAD
1-36-78	廷	5EF7
1-36-79	弟	5F1F
1-36-80	悌	608C
1-36-81	抵	62B5
1-36-82	挺	633A
1-36-83	提	63D0
1-36-84	梯	68AF
1-36-85	汀	6C40
1-36-86	碇	7887
1-36-87	禎	798E
1-36-88	程	7A0B
1-36-89	締	7DE0
1-36-90	艇	8247
1-36-91	訂	8A02
1-36-92	諦	8AE6
1-36-93	蹄	8E44
1-36-94	逓	9013
1-37-1	邸	90B8
1-37-2	鄭	912D
1-37-3	釘	91D8
1-37-4	鼎	9F0E
1-37-5	泥	6CE5
1-37-6	摘	6458
1-37-7	擢	64E2
1-37-8	敵	6575
1-37-9	滴	6EF4
1-37-10	的	7684
1-37-11	笛	7B1B
1-37-12	適	9069
1-37-13	鏑	93D1
1-37-14	溺	6EBA
1-37-15	哲	54F2
1-37-16	徹	5FB9
1-37-17	撤	64A4
1-37-18	轍	8F4D
1-37-19	迭	8FED
1-37-20	鉄	9244
1-37-21	典	5178
1-37-22	填	586B
1-37-23	天	5929
1-37-24	展	5C55
1-37-25	店	5E97
1-37-26	添	6DFB
1-37-27	纏	7E8F
1-37-28	甜	751C
1-37-29	貼	8CBC
1-37-30	転	8EE2
1-37-31	顛	985B
1-37-32	点	70B9
1-37-33	伝	4F1D
1-37-34	殿	6BBF
1-37-35	澱	6FB1
1-37-36	田	7530
1-37-37	電	96FB
1-37-38	兎	514E
1-37-39	吐	5410
1-37-40	堵	5835
1-37-41	塗	5857
1-37-42	妬	59AC
1-37-43	屠	5C60
1-37-44	徒	5F92
1-37-45	斗	6597
1-37-46	杜	675C
1-37-47	渡	6E21
1-37-48	登	767B
1-37-49	菟	83DF
1-37-50	賭	8CED
1-37-51	途	9014
1-37-52	都	90FD
1-37-53	鍍	934D
1-37-54	砥	7825
1-37-55	砺	783A
1-37-56	努	52AA
1-37-57	度	5EA6
1-37-58	土	571F
1-37-59	奴	5974
1-37-60	怒	6012
1-37-61	倒	5012
1-37-62	党	515A
1-37-63	冬	51AC
1-37-64	凍	51CD
1-37-65	刀	5200
1-37-66	唐	5510
1-37-67	塔	5854
1-37-68	塘	5858
1-37-69	套	5957
1-37-70	宕	5B95
1-37-71	島	5CF6
1-37-72	嶋	5D8B
1-37-73	悼	60BC
1-37-74	投	6295
1-37-75	搭	642D
1-37-76	東	6771
1-37-77	桃	6843
1-37-78	梼	68BC
1-37-79	棟	68DF
1-37-80	盗	76D7
1-37-81	淘	6DD8
1-37-82	湯	6E6F
1-37-83	涛	6D9B
1-37-84	灯	706F
1-37-85	燈	71C8
1-37-86	当	5F53
1-37-87	痘	75D8
1-37-88	祷	7977
1-37-89	等	7B49
1-37-90	答	7B54
1-37-91	筒	7B52
1-37-92	糖	7CD6
1-37-93	統	7D71
1-37-94	到	5230
1-38-1	董	8463
1-38-2	蕩	8569
1-38-3	藤	85E4
1-38-4	討	8A0E
1-38-5	謄	8B04
1-38-6	豆	8C46
1-38-7	踏	8E0F
1-38-8	逃	9003
1-38-9	透	900F
1-38-10	鐙	9419
1-38-11	陶	9676
1-38-12	頭	982D
1-38-13	騰	9A30
1-38-14	闘	95D8
1-38-15	働	50CD
1-38-16	動	52D5
1-38-17	同	540C
1-38-18	堂	5802
1-38-19	導	5C0E
1-38-20	憧	61A7
1-38-21	撞	649E
1-38-22	洞	6D1E
1-38-23	瞳	77B3
1-38-24	童	7AE5
1-38-25	胴	80F4
1-38-26	萄	8404
1-38-27	道	9053
1-38-28	銅	9285
1-38-29	峠	5CE0
1-38-30	鴇	9D07
1-38-31	匿	533F
1-38-32	得	5F97
1-38-33	徳	5FB3
1-38-34	涜	6D9C
1-38-35	特	7279
1-38-36	督	7763
1-38-37	禿	79BF
1-38-38	篤	7BE4
1-38-39	毒	6BD2
1-38-40	独	72EC
1-38-41	読	8AAD
1-38-42	栃	6803
1-38-43	橡	6A61
1-38-44	凸	51F8
1-38-45	突	7A81
1-38-46	椴	6934
1-38-47	届	5C4A
1-38-48	鳶	9CF6
1-38-49	苫	82EB
1-38-50	寅	5BC5
1-38-51	酉	9149
1-38-52	瀞	701E
1-38-53	噸	5678
1-38-54	屯	5C6F
1-38-55	惇	60C7
1-38-56	敦	6566
1-38-57	沌	6C8C
1-38-58	豚	8C5A
1-38-59	遁	9041
1-38-60	頓	9813
1-38-61	呑	5451
1-38-62	曇	66C7
1-38-63	鈍	920D
1-38-64	奈	5948
1-38-65	那	90A3
1-38-66	内	5185
1-38-67	乍	4E4D
1-38-68	凪	51EA
1-38-69	薙	8599
1-38-70	謎	8B0E
1-38-71	灘	7058
1-38-72	捺	637A
1-38-73	鍋	934B
1-38-74	楢	6962
1-38-75	馴	99B4
1-38-76	縄	7E04
1-38-77	畷	7577
1-38-78	南	5357
1-38-79	楠	6960
1-38-80	軟	8EDF
1-38-81	難	96E3
1-38-82	汝	6C5D
1-38-83	二	4E8C
1-38-84	尼	5C3C
1-38-85	弐	5F10
1-38-86	迩	8FE9
1-38-87	匂	5302
1-38-88	賑	8CD1
1-38-89	肉	8089
1-38-90	虹	8679
1-38-91	廿	5EFF
1-38-92	日	65E5
1-38-93	乳	4E73
1-38-94	入	5165
1-39-1	如	5982
1-39-2	尿	5C3F
1-39-3	韮	97EE
1-39-4	任	4EFB
1-39-5	妊	598A
1-39-6	忍	5FCD
1-39-7	認	8A8D
1-39-8	濡	6FE1
1-39-9	禰	79B0
1-39-10	祢	7962
1-39-11	寧	5BE7
1-39-12	葱	8471
1-39-13	猫	732B
1-39-14	熱	71B1
1-39-15	年	5E74
1-39-16	念	5FF5
1-39-17	捻	637B
1-39-18	撚	649A
1-39-19	燃	71C3
1-39-20	粘	7C98
1-39-21	乃	4E43
1-39-22	廼	5EFC
1-39-23	之	4E4B
1-39-24	埜	57DC
1-39-25	嚢	56A2
1-39-26	悩	60A9
1-39-27	濃	6FC3
1-39-28	納	7D0D
1-39-29	能	80FD
1-39-30	脳	8133
1-39-31	膿	81BF
1-39-32	農	8FB2
1-39-33	覗	8997
1-39-34	蚤	86A4
1-39-35	巴	5DF4
1-39-36	把	628A
1-39-37	播	64AD
1-39-38	覇	8987
1-39-39	杷	6777
1-39-40	波	6CE2
1-39-41	派	6D3E
1-39-42	琶	7436
1-39-43	破	7834
1-39-44	婆	5A46
1-39-45	罵	7F75
1-39-46	芭	82AD
1-39-47	馬	99AC
1-39-48	俳	4FF3
1-39-49	廃	5EC3
1-39-50	拝	62DD
1-39-51	排	6392
1-39-52	敗	6557
1-39-53	杯	676F
1-39-54	盃	76C3
1-39-55	牌	724C
1-39-56	背	80CC
1-39-57	肺	80BA
1-39-58	輩	8F29
1-39-59	配	914D
1-39-60	倍	500D
1-39-61	培	57F9
1-39-62	媒	5A92
1-39-63	梅	6885
1-39-64	楳	6973
1-39-65	煤	7164
1-39-66	狽	72FD
1-39-67	買	8CB7
1-39-68	売	58F2
1-39-69	賠	8CE0
1-39-70	陪	966A
1-39-71	這	9019
1-39-72	蝿	877F
1-39-73	秤	79E4
1-39-74	矧	77E7
1-39-75	萩	8429
1-39-76	伯	4F2F
1-39-77	剥	5265
1-39-78	博	535A
1-39-79	拍	62CD
1-39-80	柏	67CF
1-39-81	泊	6CCA
1-39-82	白	767D
1-39-83	箔	7B94
1-39-84	粕	7C95
1-39-85	舶	8236
1-39-86	薄	8584
1-39-87	迫	8FEB
1-39-88	曝	66DD
1-39-89	漠	6F20
1-39-90	爆	7206
1-39-91	縛	7E1B
1-39-92	莫	83AB
1-39-93	駁	99C1
1-39-94	麦	9EA6
1-40-1	函	51FD
1-40-2	箱	7BB1
1-40-3	硲	7872
1-40-4	箸	7BB8
1-40-5	肇	8087
1-40-6	筈	7B48
1-40-7	櫨	6AE8
1-40-8	幡	5E61
1-40-9	肌	808C
1-40-10	畑	7551
1-40-11	畠	7560
1-40-12	八	516B
1-40-13	鉢	9262
1-40-14	溌	6E8C
1-40-15	発	767A
1-40-16	醗	9197
1-40-17	髪	9AEA
1-40-18	伐	4F10
1-40-19	罰	7F70
1-40-20	抜	629C
1-40-21	筏	7B4F
1-40-22	閥	95A5
1-40-23	鳩	9CE9
1-40-24	噺	567A
1-40-25	塙	5859
1-40-26	蛤	86E4
1-40-27	隼	96BC
1-40-28	伴	4F34
1-40-29	判	5224
1-40-30	半	534A
1-40-31	反	53CD
1-40-32	叛	53DB
1-40-33	帆	5E06
1-40-34	搬	642C
1-40-35	斑	6591
1-40-36	板	677F
1-40-37	氾	6C3E
1-40-38	汎	6C4E
1-40-39	版	7248
1-40-40	犯	72AF
1-40-41	班	73ED
1-40-42	畔	7554
1-40-43	繁	7E41
1-40-44	般	822C
1-40-45	藩	85E9
1-40-46	販	8CA9
1-40-47	範	7BC4
1-40-48	釆	91C6
1-40-49	煩	7169
1-40-50	頒	9812
1-40-51	飯	98EF
1-40-52	挽	633D
1-40-53	晩	6669
1-40-54	番	756A
1-40-55	盤	76E4
1-40-56	磐	78D0
1-40-57	蕃	8543
1-40-58	蛮	86EE
1-40-59	匪	532A
1-40-60	卑	5351
1-40-61	否	5426
1-40-62	妃	5983
1-40-63	庇	5E87
1-40-64	彼	5F7C
1-40-65	悲	60B2
1-40-66	扉	6249
1-40-67	批	6279
1-40-68	披	62AB
1-40-69	斐	6590
1-40-70	比	6BD4
1-40-71	泌	6CCC
1-40-72	疲	75B2
1-40-73	皮	76AE
1-40-74	碑	7891
1-40-75	秘	79D8
1-40-76	緋	7DCB
1-40-77	罷	7F77
1-40-78	肥	80A5
1-40-79	被	88AB
1-40-80	誹	8AB9
1-40-81	費	8CBB
1-40-82	避	907F
1-40-83	非	975E
1-40-84	飛	98DB
1-40-85	樋	6A0B
1-40-86	簸	7C38
1-40-87	備	5099
1-40-88	尾	5C3E
1-40-89	微	5FAE
1-40-90	枇	6787
1-40-91	毘	6BD8
1-40-92	琵	7435
1-40-93	眉	7709
1-40-94	美	7F8E
1-41-1	鼻	9F3B
1-41-2	柊	67CA
1-41-3	稗	7A17
1-41-4	匹	5339
1-41-5	疋	758B
1-41-6	髭	9AED
1-41-7	彦	5F66
1-41-8	膝	819D
1-41-9	菱	83F1
1-41-10	肘	8098
1-41-11	弼	5F3C
1-41-12	必	5FC5
1-41-13	畢	7562
1-41-14	筆	7B46
1-41-15	逼	903C
1-41-16	桧	6867
1-41-17	姫	59EB
1-41-18	媛	5A9B
1-41-19	紐	7D10
1-41-20	百	767E
1-41-21	謬	8B2C
1-41-22	俵	4FF5
1-41-23	彪	5F6A
1-41-24	標	6A19
1-41-25	氷	6C37
1-41-26	漂	6F02
1-41-27	瓢	74E2
1-41-28	票	7968
1-41-29	表	8868
1-41-30	評	8A55
1-41-31	豹	8C79
1-41-32	廟	5EDF
1-41-33	描	63CF
1-41-34	病	75C5
1-41-35	秒	79D2
1-41-36	苗	82D7
1-41-37	錨	9328
1-41-38	鋲	92F2
1-41-39	蒜	849C
1-41-40	蛭	86ED
1-41-41	鰭	9C2D
1-41-42	品	54C1
1-41-43	彬	5F6C
1-41-44	斌	658C
1-41-45	浜	6D5C
1-41-46	瀕	7015
1-41-47	貧	8CA7
1-41-48	賓	8CD3
1-41-49	頻	983B
1-41-50	敏	654F
1-41-51	瓶	74F6
1-41-52	不	4E0D
1-41-53	付	4ED8
1-41-54	埠	57E0
1-41-55	夫	592B
1-41-56	婦	5A66
1-41-57	富	5BCC
1-41-58	冨	51A8
1-41-59	布	5E03
1-41-60	府	5E9C
1-41-61	怖	6016
1-41-62	扶	6276
1-41-63	敷	6577
1-41-64	斧	65A7
1-41-65	普	666E
1-41-66	浮	6D6E
1-41-67	父	7236
1-41-68	符	7B26
1-41-69	腐	8150
1-41-70	膚	819A
1-41-71	芙	8299
1-41-72	譜	8B5C
1-41-73	負	8CA0
1-41-74	賦	8CE6
1-41-75	赴	8D74
1-41-76	阜	961C
1-41-77	附	9644
1-41-78	侮	4FAE
1-41-79	撫	64AB
1-41-80	武	6B66
1-41-81	舞	821E
1-41-82	葡	8461
1-41-83	蕪	856A
1-41-84	部	90E8
1-41-85	封	5C01
1-41-86	楓	6953
1-41-87	風	98A8
1-41-88	葺	847A
1-41-89	蕗	8557
1-41-90	伏	4F0F
1-41-91	副	526F
1-41-92	復	5FA9
1-41-93	幅	5E45
1-41-94	服	670D
1-42-1	福	798F
1-42-2	腹	8179
1-42-3	複	8907
1-42-4	覆	8986
1-42-5	淵	6DF5
1-42-6	弗	5F17
1-42-7	払	6255
1-42-8	沸	6CB8
1-42-9	仏	4ECF
1-42-10	物	7269
1-42-11	鮒	9B92
1-42-12	分	5206
1-42-13	吻	543B
1-42-14	噴	5674
1-42-15	墳	58B3
1-42-16	憤	61A4
1-42-17	扮	626E
1-42-18	焚	711A
1-42-19	奮	596E
1-42-20	粉	7C89
1-42-21	糞	7CDE
1-42-22	紛	7D1B
1-42-23	雰	96F0
1-42-24	文	6587
1-42-25	聞	805E
1-42-26	丙	4E19
1-42-27	併	4F75
1-42-28	兵	5175
1-42-29	塀	5840
1-42-30	幣	5E63
1-42-31	平	5E73
1-42-32	弊	5F0A
1-42-33	柄	67C4
1-42-34	並	4E26
1-42-35	蔽	853D
1-42-36	閉	9589
1-42-37	陛	965B
1-42-38	米	7C73
1-42-39	頁	9801
1-42-40	僻	50FB
1-42-41	壁	58C1
1-42-42	癖	7656
1-42-43	碧	78A7
1-42-44	別	5225
1-42-45	瞥	77A5
1-42-46	蔑	8511
1-42-47	箆	7B86
1-42-48	偏	504F
1-42-49	変	5909
1-42-50	片	7247
1-42-51	篇	7BC7
1-42-52	編	7DE8
1-42-53	辺	8FBA
1-42-54	返	8FD4
1-42-55	遍	904D
1-42-56	便	4FBF
1-42-57	勉	52C9
1-42-58	娩	5A29
1-42-59	弁	5F01
1-42-60	鞭	97AD
1-42-61	保	4FDD
1-42-62	舗	8217
1-42-63	鋪	92EA
1-42-64	圃	5703
1-42-65	捕	6355
1-42-66	歩	6B69
1-42-67	甫	752B
1-42-68	補	88DC
1-42-69	輔	8F14
1-42-70	穂	7A42
1-42-71	募	52DF
1-42-72	墓	5893
1-42-73	慕	6155
1-42-74	戊	620A
1-42-75	暮	66AE
1-42-76	母	6BCD
1-42-77	簿	7C3F
1-42-78	菩	83E9
1-42-79	倣	5023
1-42-80	俸	4FF8
1-42-81	包	5305
1-42-82	呆	5446
1-42-83	報	5831
1-42-84	奉	5949
1-42-85	宝	5B9D
1-42-86	峰	5CF0
1-42-87	峯	5CEF
1-42-88	崩	5D29
1-42-89	庖	5E96
1-42-90	抱	62B1
1-42-91	捧	6367
1-42-92	放	653E
1-42-93	方	65B9
1-42-94	朋	670B
1-43-1	法	6CD5
1-43-2	泡	6CE1
1-43-3	烹	70F9
1-43-4	砲	7832
1-43-5	縫	7E2B
1-43-6	胞	80DE
1-43-7	芳	82B3
1-43-8	萌	840C
1-43-9	蓬	84EC
1-43-10	蜂	8702
1-43-11	褒	8912
1-43-12	訪	8A2A
1-43-13	豊	8C4A
1-43-14	邦	90A6
1-43-15	鋒	92D2
1-43-16	飽	98FD
1-43-17	鳳	9CF3
1-43-18	鵬	9D6C
1-43-19	乏	4E4F
1-43-20	亡	4EA1
1-43-21	傍	508D
